accuracy,aggregation,balanced_accuracy,case_dir,case_name,log_loss,loss,mb_injection,mb_mean_score,mb_score_source,mb_sparsity,num_datasets,roc_auc,train_mode
0.9466145833333334,mean_over_datasets,0.9467555484665372,results/step1/context_sweep5/mb_bias_init_1000.0/ctx500/baseline,baseline,0.12773010556351244,0.12744344075520833,none,0.0,none,0.0,30,0.9900997876009971,baseline
0.9125,mean_over_datasets,0.9125576527870393,results/step1/context_sweep5/mb_bias_init_1000.0/ctx500/shuffled,shuffled,0.1971993841952927,0.19691670735677083,cls_soft_bias,0.25,shuffled,0.25,30,0.9730086583837688,baseline
0.9102864583333333,mean_over_datasets,0.9104729114863759,results/step1/context_sweep5/mb_bias_init_1000.0/ctx500/mi,mi,0.21584342627723765,0.21913960774739583,cls_soft_bias,0.1228657066822052,mi,0.08958333569268385,30,0.9670382485177283,baseline
0.9625,mean_over_datasets,0.9625377657615651,results/step1/context_sweep5/mb_bias_init_1000.0/ctx500/oracle,oracle,0.08794786669598606,0.087359619140625,cls_soft_bias,0.25,oracle,0.25,30,0.995411605444015,baseline
0.9126302083333333,mean_over_datasets,0.9125529256352424,results/step1/context_sweep5/mb_bias_init_1000.0/ctx500/corr,corr,0.214448247663804,0.22007649739583332,cls_soft_bias,0.24800729403893154,corr,0.15000000533958277,30,0.9673917330376277,baseline
0.7880208333333333,mean_over_datasets,0.7877344584610634,results/step1/context_sweep5/mb_bias_init_1000.0/ctx500/random,random,0.47944952967637805,0.4805684407552083,cls_soft_bias,0.4387126564979553,random,0.375,30,0.8503888046302678,baseline
