accuracy,balanced_accuracy,log_loss,loss,mb_injection,mb_mean_score,mb_score_source,mb_sparsity,roc_auc,step,train_mode
0.98828125,0.9884803921568628,0.03560090089400236,0.034820556640625,cls_soft_bias,0.25,oracle,0.25,0.9993259803921569,0,baseline
0.96484375,0.965095665994254,0.06933086294729102,0.0687255859375,cls_soft_bias,0.25,oracle,0.25,0.9971116816431321,1,baseline
0.970703125,0.9712247306389565,0.0542704568253126,0.053558349609375,cls_soft_bias,0.25,oracle,0.25,0.9982834459821908,2,baseline
0.96484375,0.9646036617954709,0.0850382901416742,0.08441162109375,cls_soft_bias,0.25,oracle,0.25,0.995518194450807,3,baseline
0.970703125,0.9708691936763718,0.06750555264011268,0.06683349609375,cls_soft_bias,0.25,oracle,0.25,0.9977644509552586,4,baseline
0.982421875,0.9822039072039073,0.046022778970574885,0.04522705078125,cls_soft_bias,0.25,oracle,0.25,0.9989850427350427,5,baseline
0.978515625,0.9781452906577037,0.0503215568685665,0.049591064453125,cls_soft_bias,0.25,oracle,0.25,0.9988388969521045,6,baseline
0.984375,0.984091500666044,0.05642000823916808,0.055694580078125,cls_soft_bias,0.25,oracle,0.25,0.9981702929062486,7,baseline
0.986328125,0.986585123765022,0.028980969464436405,0.0281219482421875,cls_soft_bias,0.25,oracle,0.25,0.9996945958739902,8,baseline
0.96875,0.9683187143470526,0.07020701337004254,0.069580078125,cls_soft_bias,0.25,oracle,0.25,0.9971937680181562,9,baseline
0.953125,0.9535174920213172,0.12402243795856947,0.12347412109375,cls_soft_bias,0.25,oracle,0.25,0.9927313818009681,10,baseline
0.95703125,0.9575335562783454,0.10752531556121225,0.10687255859375,cls_soft_bias,0.25,oracle,0.25,0.9948844808893368,11,baseline
0.95703125,0.9574656488549618,0.0915141454528144,0.0909423828125,cls_soft_bias,0.25,oracle,0.25,0.9954961832061068,12,baseline
0.970703125,0.9706654456654457,0.07311869975509569,0.07244873046875,cls_soft_bias,0.25,oracle,0.25,0.9969627594627595,13,baseline
0.98046875,0.9804612965761474,0.049536934093218535,0.048797607421875,cls_soft_bias,0.25,oracle,0.25,0.9987025079757598,14,baseline
0.984375,0.9843633087483012,0.036252041124223734,0.03546142578125,cls_soft_bias,0.25,oracle,0.25,0.9993128407164781,15,baseline
0.9609375,0.9608993157380255,0.09388399838088501,0.09332275390625,cls_soft_bias,0.25,oracle,0.25,0.9946007453567938,16,baseline
0.970703125,0.9706950484473945,0.05918982542314899,0.058502197265625,cls_soft_bias,0.25,oracle,0.25,0.9980010681315327,17,baseline
0.966796875,0.9668245359407226,0.08147194899957823,0.08074951171875,cls_soft_bias,0.25,oracle,0.25,0.996745855931556,18,baseline
0.98046875,0.9804980772752243,0.05071976215048386,0.049957275390625,cls_soft_bias,0.25,oracle,0.25,0.9985350668375755,19,baseline
0.982421875,0.9825690595079939,0.04763831791864686,0.04693603515625,cls_soft_bias,0.25,oracle,0.25,0.9988165590117122,20,baseline
0.958984375,0.9601142225497421,0.08891382936848552,0.088134765625,cls_soft_bias,0.25,oracle,0.25,0.9970523212969786,21,baseline
0.97265625,0.9723474142540677,0.07552740243401088,0.0748291015625,cls_soft_bias,0.25,oracle,0.25,0.9976166832174777,22,baseline
0.974609375,0.974609375,0.051187888841861665,0.050537109375,cls_soft_bias,0.25,oracle,0.25,0.9984130859375,23,baseline
0.9765625,0.9763273794959628,0.06838728326783006,0.0677490234375,cls_soft_bias,0.25,oracle,0.25,0.9972244311230731,24,baseline
0.982421875,0.9828097531147291,0.04186746606478645,0.041168212890625,cls_soft_bias,0.25,oracle,0.25,0.9994190934800886,25,baseline
0.962890625,0.9631373327025501,0.07281709343694805,0.07208251953125,cls_soft_bias,0.25,oracle,0.25,0.9973903886947365,26,baseline
0.982421875,0.9824444953078508,0.0495970314148369,0.048919677734375,cls_soft_bias,0.25,oracle,0.25,0.9987487602044709,27,baseline
0.955078125,0.9551587301587301,0.09604303803573508,0.095458984375,cls_soft_bias,0.25,oracle,0.25,0.9947115384615386,28,baseline
0.98828125,0.988622461463176,0.03862436413154258,0.03790283203125,cls_soft_bias,0.25,oracle,0.25,0.999464766332273,29,baseline
