accuracy,balanced_accuracy,log_loss,loss,mb_injection,mb_mean_score,mb_score_source,mb_sparsity,roc_auc,step,train_mode
0.947265625,0.947886119257087,0.13371346405047346,0.1331787109375,cls_soft_bias,0.22002717852592468,corr,0.1458333432674408,0.992195136852395,0,baseline
0.96484375,0.9649517340554102,0.0756867952434666,0.0751953125,cls_soft_bias,0.18546202778816223,corr,0.125,0.9965731944253216,1,baseline
0.95703125,0.9569597069597069,0.10518431253282048,0.10455322265625,cls_soft_bias,0.31156623363494873,corr,0.2708333432674408,0.9940705128205128,2,baseline
0.96875,0.9689404003848092,0.07809387206269924,0.07763671875,cls_soft_bias,0.2316673994064331,corr,0.0625,0.9966252844075925,3,baseline
0.96875,0.9693627450980392,0.07294666259326407,0.072509765625,cls_soft_bias,0.20230373740196228,corr,0.0416666679084301,0.9970588235294118,4,baseline
0.955078125,0.9550858854453206,0.09705202785113229,0.09661865234375,cls_soft_bias,0.216679185628891,corr,0.0625,0.9943532612017849,5,baseline
0.951171875,0.9512824427480916,0.10530112194248797,0.1051025390625,cls_soft_bias,0.1924237608909607,corr,0.1041666716337204,0.9934656488549618,6,baseline
0.951171875,0.9520064205457464,0.09736844802213487,0.096923828125,cls_soft_bias,0.24444977939128876,corr,0.1458333432674408,0.9947412672934342,7,baseline
0.94921875,0.9493520172184824,0.12243765443646949,0.1220703125,cls_soft_bias,0.18642869591712952,corr,0.125,0.9911999511532416,8,baseline
0.96875,0.9680904869189388,0.059977556537613004,0.05950927734375,cls_soft_bias,0.24058803915977478,corr,0.1041666716337204,0.9978389811025794,9,baseline
0.939453125,0.9399437927663734,0.1230272710210307,0.12261962890625,cls_soft_bias,0.2892361879348755,corr,0.2708333432674408,0.9920576735092863,10,baseline
0.974609375,0.9745615240188671,0.0619379841790963,0.061248779296875,cls_soft_bias,0.27710798382759094,corr,0.1666666716337204,0.9979545419853154,11,baseline
0.958984375,0.9592497556207233,0.09775296096961161,0.09716796875,cls_soft_bias,0.2815180718898773,corr,0.25,0.99448619257087,12,baseline
0.978515625,0.9785496183206106,0.04674122703721975,0.04608154296875,cls_soft_bias,0.3001640737056732,corr,0.25,0.9988854961832061,13,baseline
0.939453125,0.9403290922436995,0.13334727305049016,0.133056640625,cls_soft_bias,0.24333052337169647,corr,0.1666666716337204,0.9898687912894543,14,baseline
0.955078125,0.9553237596715858,0.10585957904018913,0.10528564453125,cls_soft_bias,0.26272615790367126,corr,0.25,0.99522334304943,15,baseline
0.96484375,0.9647787204769549,0.09079037844421964,0.09051513671875,cls_soft_bias,0.19237540662288666,corr,0.0625,0.9961782465795307,16,baseline
0.9609375,0.9613042084535421,0.07772537933043969,0.07720947265625,cls_soft_bias,0.3144182860851288,corr,0.2916666865348816,0.9969012837538733,17,baseline
0.978515625,0.9784897828376089,0.05435493512469899,0.05364990234375,cls_soft_bias,0.2136356085538864,corr,0.1041666716337204,0.9983747157660202,18,baseline
0.96875,0.9680725748466352,0.07834927154405147,0.077880859375,cls_soft_bias,0.30502116680145264,corr,0.2916666865348816,0.9965731944253218,19,baseline
0.951171875,0.9512146737471769,0.11881370353109273,0.11822509765625,cls_soft_bias,0.16693566739559174,corr,0.02083333395421505,0.992621925166331,20,baseline
0.970703125,0.9708577712609971,0.06611525043258162,0.06561279296875,cls_soft_bias,0.17861220240592957,corr,0.02083333395421505,0.9975409335288368,21,baseline
0.951171875,0.9517066307805236,0.12004218971118488,0.1197509765625,cls_soft_bias,0.18912574648857117,corr,0.02083333395421505,0.9918568020552974,22,baseline
0.953125,0.9531746031746031,0.09249693339726348,0.09210205078125,cls_soft_bias,0.23280975222587585,corr,0.1458333432674408,0.9956959706959707,23,baseline
0.970703125,0.9714988691240296,0.0791009171477394,0.07867431640625,cls_soft_bias,0.18892204761505127,corr,0.02083333395421505,0.997562503820527,24,baseline
0.966796875,0.9666575108344015,0.0827809035008322,0.08233642578125,cls_soft_bias,0.3040492534637451,corr,0.2083333432674408,0.9971693218580236,25,baseline
0.97265625,0.973480730657929,0.05566122919246546,0.0550537109375,cls_soft_bias,0.16040587425231934,corr,0.02083333395421505,0.9983463735052288,26,baseline
0.96875,0.9690472918289126,0.05820892981875531,0.05755615234375,cls_soft_bias,0.2035142481327057,corr,0.0833333358168602,0.9983660879258479,27,baseline
0.970703125,0.9709366391184573,0.06178441145413835,0.0611572265625,cls_soft_bias,0.34239864349365234,corr,0.3333333432674408,0.9979032751760024,28,baseline
0.96484375,0.9651759530791789,0.07530024476176134,0.07489013671875,cls_soft_bias,0.19857530295848846,corr,0.0416666679084301,0.9966397849462365,29,baseline
