accuracy,balanced_accuracy,log_loss,loss,mb_injection,mb_mean_score,mb_score_source,mb_sparsity,roc_auc,step,train_mode
0.9873046875,0.9873664122137404,0.02675420199152269,0.02593994140625,cls_soft_bias,0.25,oracle,0.25,0.9996488549618321,0,baseline
0.970703125,0.9703527110459075,0.07007583371173202,0.0693359375,cls_soft_bias,0.25,oracle,0.25,0.9974020416895899,1,baseline
0.9541015625,0.9544198473282443,0.11646031296003487,0.1162109375,cls_soft_bias,0.25,oracle,0.25,0.992452290076336,2,baseline
0.947265625,0.9467986012491029,0.13442844315817382,0.1337890625,cls_soft_bias,0.25,oracle,0.25,0.9919640539343687,3,baseline
0.9755859375,0.9755931466242431,0.05665237890662953,0.055938720703125,cls_soft_bias,0.25,oracle,0.25,0.9980390585955234,4,baseline
0.986328125,0.9863355458915084,0.03994330078528219,0.039154052734375,cls_soft_bias,0.25,oracle,0.25,0.9990920881971465,5,baseline
0.984375,0.984301484757482,0.030226645241437543,0.0294036865234375,cls_soft_bias,0.25,oracle,0.25,0.9995153837054449,6,baseline
0.98046875,0.9804116827867757,0.048277820243800576,0.04742431640625,cls_soft_bias,0.25,oracle,0.25,0.9989221465499151,7,baseline
0.9833984375,0.983513506294288,0.04836513181761111,0.047607421875,cls_soft_bias,0.25,oracle,0.25,0.998714049675078,8,baseline
0.9892578125,0.9892673083011944,0.027616262226030162,0.0268096923828125,cls_soft_bias,0.25,oracle,0.25,0.999622343530058,9,baseline
0.9765625,0.9764779946202713,0.06424731491298488,0.0634765625,cls_soft_bias,0.25,oracle,0.25,0.9976134607680421,10,baseline
0.98046875,0.9803468119857734,0.0471059307554818,0.04638671875,cls_soft_bias,0.25,oracle,0.25,0.9987788310360092,11,baseline
0.982421875,0.9824914899787822,0.039165370469219155,0.038360595703125,cls_soft_bias,0.25,oracle,0.25,0.9991718947962938,12,baseline
0.9755859375,0.9755146034834697,0.06002812187329462,0.05926513671875,cls_soft_bias,0.25,oracle,0.25,0.997960663118335,13,baseline
0.98046875,0.9804994581062723,0.044136109163089327,0.043304443359375,cls_soft_bias,0.25,oracle,0.25,0.9988685106318023,14,baseline
0.962890625,0.9629371029588507,0.0908520365395963,0.09014892578125,cls_soft_bias,0.25,oracle,0.25,0.9955016310879643,15,baseline
0.9365234375,0.936462148962149,0.1705852368508602,0.170166015625,cls_soft_bias,0.25,oracle,0.25,0.9826579670329672,16,baseline
0.9697265625,0.9697207249478338,0.06166897710081423,0.0609130859375,cls_soft_bias,0.25,oracle,0.25,0.9978217995521529,17,baseline
0.9951171875,0.9950396030155549,0.014612149815402917,0.01373291015625,cls_soft_bias,0.25,oracle,0.25,0.9999580112606165,18,baseline
0.9873046875,0.9872176424459194,0.030973414488738263,0.0301513671875,cls_soft_bias,0.25,oracle,0.25,0.999451064399518,19,baseline
0.9814453125,0.9814002611567709,0.051437789567148895,0.05059814453125,cls_soft_bias,0.25,oracle,0.25,0.9986519701974038,20,baseline
0.95703125,0.9570445750869996,0.10127212363782503,0.1005859375,cls_soft_bias,0.25,oracle,0.25,0.9944324115775279,21,baseline
0.9619140625,0.9618744944831901,0.08366688602193503,0.0830078125,cls_soft_bias,0.25,oracle,0.25,0.9959882949013383,22,baseline
0.982421875,0.9823477560739211,0.04249427965895026,0.041748046875,cls_soft_bias,0.25,oracle,0.25,0.9989792530803662,23,baseline
0.982421875,0.9824216067750057,0.03899267571922147,0.038116455078125,cls_soft_bias,0.25,oracle,0.25,0.999080643930724,24,baseline
0.9833984375,0.9834096284428169,0.03887344362662311,0.0380859375,cls_soft_bias,0.25,oracle,0.25,0.9991531242847334,25,baseline
0.9794921875,0.9794276175305501,0.04798388560338119,0.0472412109375,cls_soft_bias,0.25,oracle,0.25,0.9986381850616731,26,baseline
0.98046875,0.9807081807081808,0.04257636852382343,0.041748046875,cls_soft_bias,0.25,oracle,0.25,0.9993475274725274,27,baseline
0.9755859375,0.975443055364748,0.052205095034699237,0.05145263671875,cls_soft_bias,0.25,oracle,0.25,0.9985231487841737,28,baseline
0.9853515625,0.9852887301369235,0.03371675613976855,0.0328369140625,cls_soft_bias,0.25,oracle,0.25,0.9993989559005358,29,baseline
